id,host_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month,price,listings_count,host_since,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,bed_type,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
241032,956883,47.636289038357184,-122.37102519997765,4,1.0,1.0,1.0,1,365,14,41,71,346,207,95.0,4.07,85.0,3,2011-08-11,96.0,f,t,t,Queen Anne,Apartment,Entire home/apt,Real Bed,f,moderate,f,f
9167786,956883,47.64235821035005,-122.37404682885945,2,1.0,1.0,1.0,1,1125,28,58,88,363,1,80.0,0.65,50.0,3,2011-08-11,96.0,f,t,t,Queen Anne,House,Private room,Real Bed,f,flexible,f,f
241016,956883,47.64328624276872,-122.3758186224208,4,1.0,2.0,3.0,2,60,19,49,79,354,17,95.0,0.67,115.0,3,2011-08-11,96.0,f,t,t,Queen Anne,House,Entire home/apt,Real Bed,f,moderate,f,f
953595,5177328,47.63912312136253,-122.36566646439582,4,1.0,1.0,1.0,2,90,13,13,16,291,43,96.0,1.48,150.0,6,2013-02-21,98.0,t,t,t,Queen Anne,Apartment,Entire home/apt,Real Bed,f,strict,t,t
2493658,5177328,47.63749172022628,-122.3668885909212,4,1.0,1.0,1.0,2,365,6,19,49,324,32,97.0,1.55,150.0,6,2013-02-21,98.0,t,t,t,Queen Anne,Apartment,Entire home/apt,Real Bed,f,strict,t,t
2481869,5177328,47.63900777818944,-122.36532007300232,4,1.0,1.0,1.0,2,365,19,46,62,323,38,96.0,1.86,175.0,6,2013-02-21,98.0,t,t,t,Queen Anne,Apartment,Entire home/apt,Real Bed,f,strict,t,t
6780615,5177328,47.639200283225534,-122.38661556538368,4,1.0,1.0,1.0,2,90,1,31,61,336,12,97.0,2.05,150.0,6,2013-02-21,98.0,t,t,t,Interbay,Apartment,Entire home/apt,Real Bed,f,strict,t,t
3382533,5177328,47.641205651697206,-122.38686559245234,4,1.0,1.0,1.0,2,90,24,53,83,349,50,98.0,2.84,150.0,6,2013-02-21,98.0,t,t,t,Magnolia,Apartment,Entire home/apt,Real Bed,t,strict,t,t
7227464,5177328,47.640325228430214,-122.38664944234016,2,1.0,1.0,1.0,2,90,6,36,66,341,17,96.0,3.11,125.0,6,2013-02-21,98.0,t,t,t,Magnolia,Apartment,Entire home/apt,Real Bed,f,strict,t,t
3308979,16708587,47.629724131577355,-122.3694831756176,11,4.5,5.0,7.0,4,30,1,6,17,220,20,97.0,1.15,975.0,2,2014-06-12,67.0,f,t,t,Queen Anne,House,Entire home/apt,Real Bed,f,strict,f,f
3544550,16708587,47.63139734518299,-122.36776687067899,8,2.5,3.0,5.0,4,1125,0,3,33,293,8,100.0,1.3,450.0,2,2014-06-12,67.0,f,t,t,Queen Anne,House,Entire home/apt,Real Bed,f,strict,f,f
7421966,9851441,47.63847320176642,-122.36927912263019,3,1.0,0.0,2.0,1,1125,0,0,0,143,0,0.0,0.0,100.0,1,2013-11-06,0.0,f,t,t,Queen Anne,Apartment,Entire home/apt,Real Bed,f,flexible,f,f
278830,1452570,47.63291840276724,-122.37247063402224,6,2.0,3.0,3.0,1,1125,30,60,90,365,38,92.0,0.89,450.0,2,2011-11-29,100.0,f,t,t,Queen Anne,House,Entire home/apt,Real Bed,f,strict,f,f
2586642,1452570,47.64236194980898,-122.3775093333712,4,1.0,2.0,2.0,2,1125,30,60,90,365,22,89.0,1.15,150.0,2,2011-11-29,100.0,f,t,t,Interbay,House,Entire home/apt,Real Bed,f,strict,f,f
5956968,326758,47.630525482401936,-122.36617406518856,2,1.0,1.0,1.0,1,6,0,0,27,302,17,95.0,2.45,120.0,1,2010-12-25,0.0,f,t,t,Queen Anne,House,Private room,Real Bed,f,strict,f,f
1909058,2497928,47.636605445320065,-122.36851905844937,2,1.0,1.0,1.0,3,14,20,49,71,346,58,99.0,2.46,80.0,1,2012-05-30,100.0,t,t,t,Queen Anne,House,Private room,Real Bed,f,moderate,f,f
856550,4016632,47.640160541214655,-122.37585597885769,2,1.0,1.0,1.0,2,7,22,42,42,100,173,97.0,4.73,60.0,5,2012-10-30,100.0,t,t,t,Queen Anne,Cabin,Private room,Real Bed,f,strict,t,t
3200646,4016632,47.639266020260955,-122.37472581108143,2,1.0,1.0,1.0,2,7,22,49,49,107,80,95.0,4.38,45.0,5,2012-10-30,100.0,t,t,t,Queen Anne,Camper/RV,Private room,Real Bed,f,strict,t,t
2746782,4016632,47.64105215050513,-122.37508173306395,2,1.0,0.0,1.0,2,14,18,45,45,103,109,97.0,5.24,90.0,5,2012-10-30,100.0,t,t,t,Queen Anne,Apartment,Entire home/apt,Real Bed,f,strict,t,t
